"Genotype","Year","Experiment","Dpi","Phenotype"
456025,2015,2,5,1
456026,2015,2,5,1
456027,2015,2,5,2.25
456028,2015,2,5,1
456029,2015,2,5,1
456030,2015,2,5,1.571428571
456031,2015,2,5,1
456032,2015,2,5,1.75
456033,2015,2,5,1
456034,2015,2,5,3.5
456035,2015,2,5,1.333333333
456037,2015,2,5,1
456038,2015,2,5,1
456039,2015,2,5,1.5
456040,2015,2,5,1.333333333
456041,2015,2,5,1
456042,2015,2,5,1.571428571
456044,2015,2,5,1
456045,2015,2,5,1
456046,2015,2,5,1
456047,2015,2,5,1.5
456048,2015,2,5,2.714285714
456049,2015,2,5,2.2
456050,2015,2,5,1.714285714
456052,2015,2,5,1.714285714
456053,2015,2,5,1.166666667
456054,2015,2,5,1.571428571
456056,2015,2,5,1
456057,2015,2,5,1
456058,2015,2,5,1.125
456059,2015,2,5,2
456060,2015,2,5,1.5
456062,2015,2,5,1
456063,2015,2,5,1.8
456064,2015,2,5,1.666666667
456065,2015,2,5,NA
456067,2015,2,5,2.4
456068,2015,2,5,1.857142857
456069,2015,2,5,1
456070,2015,2,5,1
456071,2015,2,5,2.142857143
456072,2015,2,5,2.285714286
456073,2015,2,5,1.5
456074,2015,2,5,1
456075,2015,2,5,4.333333333
456076,2015,2,5,2
456077,2015,2,5,2.625
456078,2015,2,5,1.666666667
456079,2015,2,5,1.75
456080,2015,2,5,1.333333333
456082,2015,2,5,2
456084,2015,2,5,1
456085,2015,2,5,1.714285714
456087,2015,2,5,1.5
456088,2015,2,5,1.2
456089,2015,2,5,1
456090,2015,2,5,1
456091,2015,2,5,1
456092,2015,2,5,NA
456093,2015,2,5,1.5
456094,2015,2,5,2.333333333
456095,2015,2,5,1.5
456101,2015,2,5,1.666666667
456102,2015,2,5,2.5
456103,2015,2,5,1.8
456105,2015,2,5,1.857142857
456106,2015,2,5,1.5
456107,2015,2,5,2.571428571
456109,2015,2,5,3
456110,2015,2,5,3.857142857
457002,2015,2,5,2.5
457003,2015,2,5,2.142857143
457004,2015,2,5,2.2
457005,2015,2,5,1
457006,2015,2,5,2.571428571
457007,2015,2,5,NA
457008,2015,2,5,1.142857143
457009,2015,2,5,2.142857143
457010,2015,2,5,1.25
457011,2015,2,5,1.375
457012,2015,2,5,2.571428571
457013,2015,2,5,3.75
457014,2015,2,5,1.857142857
457015,2015,2,5,1.5
457017,2015,2,5,1.166666667
457018,2015,2,5,1
457019,2015,2,5,2.285714286
457020,2015,2,5,3
457021,2015,2,5,3
457022,2015,2,5,1.25
457023,2015,2,5,2
457024,2015,2,5,2
457025,2015,2,5,2.142857143
457026,2015,2,5,2
457027,2015,2,5,2.142857143
457028,2015,2,5,1
457029,2015,2,5,2.25
457030,2015,2,5,1
457032,2015,2,5,1.666666667
457033,2015,2,5,1.833333333
457034,2015,2,5,2.285714286
457035,2015,2,5,1
457036,2015,2,5,3
457037,2015,2,5,2
457038,2015,2,5,2.428571429
457039,2015,2,5,3.285714286
457040,2015,2,5,2.285714286
457041,2015,2,5,2
457042,2015,2,5,2.142857143
457043,2015,2,5,1.125
457044,2015,2,5,2.5
457045,2015,2,5,2.285714286
457051,2015,2,5,1
457052,2015,2,5,1.875
457053,2015,2,5,1
457055,2015,2,5,2.714285714
457056,2015,2,5,1
457057,2015,2,5,1.142857143
457058,2015,2,5,2.571428571
457059,2015,2,5,1.166666667
455096,2015,2,6,1.666666667
455097,2015,2,6,2.142857143
455098,2015,2,6,1
455099,2015,2,6,1.375
455100,2015,2,6,3.166666667
455102,2015,2,6,1.375
455103,2015,2,6,NA
455104,2015,2,6,1
455105,2015,2,6,1
455106,2015,2,6,1.285714286
455107,2015,2,6,2.5
455108,2015,2,6,1
455109,2015,2,6,1.571428571
455110,2015,2,6,1.125
456001,2015,2,6,3.142857143
456002,2015,2,6,1.142857143
456003,2015,2,6,1.5
456004,2015,2,6,2.142857143
456005,2015,2,6,2.75
456007,2015,2,6,1
456008,2015,2,6,1.75
456009,2015,2,6,1.142857143
456010,2015,2,6,1.125
456011,2015,2,6,1
456012,2015,2,6,1
456013,2015,2,6,1.285714286
456014,2015,2,6,1
456015,2015,2,6,4
456016,2015,2,6,1.857142857
456017,2015,2,6,1.5
456018,2015,2,6,1.125
456019,2015,2,6,2.714285714
456020,2015,2,6,1.166666667
456022,2015,2,6,1.166666667
456023,2015,2,6,3.8
456024,2015,2,6,1
456025,2015,2,6,1.285714286
456026,2015,2,6,1
456027,2015,2,6,2.25
456028,2015,2,6,1
456029,2015,2,6,1
456030,2015,2,6,2
456031,2015,2,6,1.142857143
456032,2015,2,6,1.75
456033,2015,2,6,1.166666667
456034,2015,2,6,3.666666667
456035,2015,2,6,1.166666667
456037,2015,2,6,1.25
456038,2015,2,6,1
456039,2015,2,6,1.5
456040,2015,2,6,1.666666667
456041,2015,2,6,1
456042,2015,2,6,2.285714286
456044,2015,2,6,1
456045,2015,2,6,1.25
456046,2015,2,6,1
456047,2015,2,6,1.5
456048,2015,2,6,3.571428571
456049,2015,2,6,2.4
456050,2015,2,6,2.285714286
456052,2015,2,6,1.857142857
456053,2015,2,6,1.333333333
456054,2015,2,6,1.714285714
456056,2015,2,6,1
456057,2015,2,6,1
456058,2015,2,6,1.875
456059,2015,2,6,2.5
456060,2015,2,6,1.666666667
456062,2015,2,6,1
456063,2015,2,6,2.2
456064,2015,2,6,1.833333333
456065,2015,2,6,NA
456067,2015,2,6,3
456068,2015,2,6,2.142857143
456069,2015,2,6,1
456070,2015,2,6,1.125
456071,2015,2,6,3
456072,2015,2,6,2.857142857
456073,2015,2,6,1.5
456074,2015,2,6,1.2
456075,2015,2,6,4.666666667
456076,2015,2,6,2.5
456077,2015,2,6,2.875
456078,2015,2,6,1.666666667
456079,2015,2,6,2.25
456080,2015,2,6,1.333333333
456082,2015,2,6,2.5
456084,2015,2,6,1
456085,2015,2,6,1.714285714
456087,2015,2,6,1.666666667
456088,2015,2,6,1.8
456089,2015,2,6,1.333333333
456090,2015,2,6,1.666666667
456091,2015,2,6,1
456092,2015,2,6,NA
456093,2015,2,6,2
456094,2015,2,6,3
456095,2015,2,6,1.666666667
456101,2015,2,6,2.5
456102,2015,2,6,3.375
456103,2015,2,6,2
456105,2015,2,6,2.142857143
456106,2015,2,6,1.75
456107,2015,2,6,2.571428571
456109,2015,2,6,3
456110,2015,2,6,4.142857143
457002,2015,2,6,2.166666667
457003,2015,2,6,2.142857143
457004,2015,2,6,2.75
457005,2015,2,6,1
457006,2015,2,6,3.428571429
457007,2015,2,6,NA
457008,2015,2,6,1.142857143
457009,2015,2,6,2.5
457010,2015,2,6,2.25
457011,2015,2,6,1.625
457012,2015,2,6,3.142857143
457013,2015,2,6,4.125
457014,2015,2,6,2.142857143
457015,2015,2,6,1.833333333
457017,2015,2,6,1.666666667
457018,2015,2,6,1
457019,2015,2,6,2.714285714
457020,2015,2,6,3.4
457021,2015,2,6,3.428571429
457022,2015,2,6,1.5
457023,2015,2,6,2.8
457024,2015,2,6,2.8
457025,2015,2,6,2.714285714
457026,2015,2,6,2.2
457027,2015,2,6,2.714285714
457028,2015,2,6,1
457029,2015,2,6,2.75
457030,2015,2,6,1.2
457032,2015,2,6,1.666666667
457033,2015,2,6,2.333333333
457034,2015,2,6,2.142857143
457035,2015,2,6,1
457036,2015,2,6,3.333333333
457037,2015,2,6,2.375
457038,2015,2,6,3.142857143
457039,2015,2,6,3.714285714
457040,2015,2,6,3
457041,2015,2,6,2.333333333
457042,2015,2,6,3.142857143
457043,2015,2,6,1.125
457044,2015,2,6,2.75
457045,2015,2,6,2.428571429
457051,2015,2,6,1.142857143
457052,2015,2,6,2.5
457053,2015,2,6,1.142857143
457055,2015,2,6,3.285714286
457056,2015,2,6,1
457057,2015,2,6,1.142857143
457058,2015,2,6,2.714285714
457059,2015,2,6,2
455096,2015,2,7,1.666666667
455097,2015,2,7,2.428571429
455098,2015,2,7,1
455099,2015,2,7,1.5
455100,2015,2,7,3.333333333
455102,2015,2,7,1.25
455103,2015,2,7,NA
455104,2015,2,7,1
455105,2015,2,7,1
455106,2015,2,7,1.428571429
455107,2015,2,7,2.666666667
455108,2015,2,7,1.2
455109,2015,2,7,1.714285714
455110,2015,2,7,1.25
456001,2015,2,7,2.428571429
456002,2015,2,7,1.142857143
456003,2015,2,7,1.5
456004,2015,2,7,2.142857143
456005,2015,2,7,3
456007,2015,2,7,1.25
456008,2015,2,7,2
456009,2015,2,7,1.142857143
456010,2015,2,7,1.125
456011,2015,2,7,1
456012,2015,2,7,1
456013,2015,2,7,1.285714286
456014,2015,2,7,1
456015,2015,2,7,4.25
456016,2015,2,7,2.142857143
456017,2015,2,7,2
456018,2015,2,7,1.125
456019,2015,2,7,2.857142857
456020,2015,2,7,1.166666667
456022,2015,2,7,1
456023,2015,2,7,4
456024,2015,2,7,1
456025,2015,2,7,1.285714286
456026,2015,2,7,1
456027,2015,2,7,2.25
456028,2015,2,7,1
456029,2015,2,7,1
456030,2015,2,7,2.571428571
456031,2015,2,7,1.285714286
456032,2015,2,7,2.25
456033,2015,2,7,1.333333333
456034,2015,2,7,3.666666667
456035,2015,2,7,1.166666667
456037,2015,2,7,1.5
456038,2015,2,7,1.4
456039,2015,2,7,1.75
456040,2015,2,7,2
456041,2015,2,7,1.5
456042,2015,2,7,2.142857143
456044,2015,2,7,1.142857143
456045,2015,2,7,1.375
456046,2015,2,7,1
456047,2015,2,7,1.5
456048,2015,2,7,3.714285714
456049,2015,2,7,2.4
456050,2015,2,7,2.571428571
456052,2015,2,7,2
456053,2015,2,7,1.333333333
456054,2015,2,7,2
456056,2015,2,7,1
456057,2015,2,7,1
456058,2015,2,7,1.875
456059,2015,2,7,3
456060,2015,2,7,2
456062,2015,2,7,1
456063,2015,2,7,2.2
456064,2015,2,7,1.833333333
456065,2015,2,7,NA
456067,2015,2,7,3.4
456068,2015,2,7,2.142857143
456069,2015,2,7,1
456070,2015,2,7,1
456071,2015,2,7,3
456072,2015,2,7,2.714285714
456073,2015,2,7,2.166666667
456074,2015,2,7,1.4
456075,2015,2,7,4
456076,2015,2,7,2.75
456077,2015,2,7,2.875
456078,2015,2,7,1.666666667
456079,2015,2,7,2.5
456080,2015,2,7,1.333333333
456082,2015,2,7,2.625
456084,2015,2,7,1
456085,2015,2,7,2.142857143
456087,2015,2,7,1.833333333
456088,2015,2,7,2
456089,2015,2,7,1.5
456090,2015,2,7,1.5
456091,2015,2,7,1
456092,2015,2,7,NA
456093,2015,2,7,1.875
456094,2015,2,7,3.5
456095,2015,2,7,1.666666667
456101,2015,2,7,2.833333333
456102,2015,2,7,3.75
456103,2015,2,7,2
456105,2015,2,7,2.428571429
456106,2015,2,7,1.5
456107,2015,2,7,2.571428571
456109,2015,2,7,3.166666667
456110,2015,2,7,4
457002,2015,2,7,2.5
457003,2015,2,7,2.142857143
457004,2015,2,7,3.2
457005,2015,2,7,1
457006,2015,2,7,3.428571429
457007,2015,2,7,NA
457008,2015,2,7,1.142857143
457009,2015,2,7,2.142857143
457010,2015,2,7,2.25
457011,2015,2,7,1.625
457012,2015,2,7,3.285714286
457013,2015,2,7,4
457014,2015,2,7,2.142857143
457015,2015,2,7,1.833333333
457017,2015,2,7,1.833333333
457018,2015,2,7,1.142857143
457019,2015,2,7,3
457020,2015,2,7,3.8
457021,2015,2,7,3.428571429
457022,2015,2,7,1.75
457023,2015,2,7,3
457024,2015,2,7,2.8
457025,2015,2,7,2.714285714
457026,2015,2,7,2
457027,2015,2,7,3
457028,2015,2,7,1
457029,2015,2,7,3
457030,2015,2,7,1
457032,2015,2,7,2.666666667
457033,2015,2,7,2.166666667
457034,2015,2,7,2.428571429
457035,2015,2,7,1.142857143
457036,2015,2,7,2.833333333
457037,2015,2,7,2.25
457038,2015,2,7,3.571428571
457039,2015,2,7,3.714285714
457040,2015,2,7,2.857142857
457041,2015,2,7,2.5
457042,2015,2,7,3.142857143
457043,2015,2,7,1.125
457044,2015,2,7,2.75
457045,2015,2,7,2.571428571
457051,2015,2,7,1.571428571
457052,2015,2,7,2.625
457053,2015,2,7,1.428571429
457055,2015,2,7,3.285714286
457056,2015,2,7,1
457057,2015,2,7,1.428571429
457058,2015,2,7,2.714285714
457059,2015,2,7,2.5
455096,2016,2,4,1
455097,2016,2,4,1
455098,2016,2,4,1
455099,2016,2,4,1.875
455100,2016,2,4,3.75
455102,2016,2,4,1.5
455103,2016,2,4,NA
455104,2016,2,4,1.142857143
455105,2016,2,4,1
455106,2016,2,4,1.125
455107,2016,2,4,1.125
455108,2016,2,4,1
455109,2016,2,4,1
455110,2016,2,4,1
456001,2016,2,4,1.375
456002,2016,2,4,1
456003,2016,2,4,1.125
456004,2016,2,4,1.75
456005,2016,2,4,3.666666667
456007,2016,2,4,1.142857143
456008,2016,2,4,1.5
456009,2016,2,4,1
456010,2016,2,4,1
456011,2016,2,4,1
456012,2016,2,4,1.125
456013,2016,2,4,1
456014,2016,2,4,1.5
456015,2016,2,4,4.75
456016,2016,2,4,1
456017,2016,2,4,2
456018,2016,2,4,1.125
456019,2016,2,4,1.125
456020,2016,2,4,1
456022,2016,2,4,1.125
456023,2016,2,4,2
456024,2016,2,4,1
456025,2016,2,4,1
456026,2016,2,4,1
456027,2016,2,4,1
456028,2016,2,4,NA
456029,2016,2,4,1
456030,2016,2,4,1.125
456031,2016,2,4,NA
456032,2016,2,4,1
456033,2016,2,4,1
456034,2016,2,4,1
456035,2016,2,4,1
456037,2016,2,4,1.571428571
456038,2016,2,4,1
456039,2016,2,4,3
456040,2016,2,4,1
456041,2016,2,4,1
456042,2016,2,4,1.833333333
456044,2016,2,4,1
456045,2016,2,4,1
456046,2016,2,4,NA
456047,2016,2,4,1
456048,2016,2,4,1.5
456049,2016,2,4,1
456050,2016,2,4,1.875
456052,2016,2,4,1.875
456053,2016,2,4,1
456054,2016,2,4,1
456056,2016,2,4,1
456057,2016,2,4,2.5
456058,2016,2,4,1
456059,2016,2,4,1.75
456060,2016,2,4,1.375
456062,2016,2,4,1
456063,2016,2,4,2.375
456064,2016,2,4,1.25
456065,2016,2,4,NA
456067,2016,2,4,1.625
456068,2016,2,4,1.25
456069,2016,2,4,NA
456070,2016,2,4,1
456071,2016,2,4,2
456072,2016,2,4,1.142857143
456073,2016,2,4,1
456074,2016,2,4,1
456075,2016,2,4,1.25
456076,2016,2,4,1
456077,2016,2,4,1
456078,2016,2,4,1.25
456079,2016,2,4,NA
456080,2016,2,4,1
456082,2016,2,4,2
456084,2016,2,4,1.5
456085,2016,2,4,1
456087,2016,2,4,NA
456088,2016,2,4,1.571428571
456089,2016,2,4,2.125
456090,2016,2,4,1
456091,2016,2,4,1
456092,2016,2,4,NA
456093,2016,2,4,1.428571429
456094,2016,2,4,2.125
456095,2016,2,4,1
456101,2016,2,4,1
456102,2016,2,4,1.875
456103,2016,2,4,1
456105,2016,2,4,1
456106,2016,2,4,1
456107,2016,2,4,1
456109,2016,2,4,1
456110,2016,2,4,1
457002,2016,2,4,1.375
457003,2016,2,4,1.857142857
457004,2016,2,4,1.714285714
457005,2016,2,4,1.125
457006,2016,2,4,3.5
457007,2016,2,4,NA
457008,2016,2,4,1.25
457009,2016,2,4,2.125
457010,2016,2,4,2.125
457011,2016,2,4,1.125
457012,2016,2,4,1.625
457013,2016,2,4,2.428571429
457014,2016,2,4,1
457015,2016,2,4,1.375
457017,2016,2,4,1.571428571
457018,2016,2,4,1.166666667
457019,2016,2,4,1.125
457020,2016,2,4,1.125
457021,2016,2,4,1.375
457022,2016,2,4,1.714285714
457023,2016,2,4,2.285714286
457024,2016,2,4,2
457025,2016,2,4,1
457026,2016,2,4,1.125
457027,2016,2,4,2.375
457028,2016,2,4,1
457029,2016,2,4,3
457030,2016,2,4,1
457032,2016,2,4,1.5
457033,2016,2,4,1
457034,2016,2,4,2.285714286
457035,2016,2,4,1.25
457036,2016,2,4,1.125
457037,2016,2,4,1.25
457038,2016,2,4,1.875
457039,2016,2,4,1.285714286
457040,2016,2,4,1
457041,2016,2,4,1
457042,2016,2,4,NA
457043,2016,2,4,1
457044,2016,2,4,1
457045,2016,2,4,1
457051,2016,2,4,1
457052,2016,2,4,1.25
457053,2016,2,4,1.142857143
457055,2016,2,4,1.857142857
457056,2016,2,4,1
457057,2016,2,4,1.571428571
457058,2016,2,4,1
457059,2016,2,4,1
455096,2016,2,5,1
455097,2016,2,5,1.125
455098,2016,2,5,1
455099,2016,2,5,2.125
455100,2016,2,5,3.875
455102,2016,2,5,1.5
455103,2016,2,5,NA
455104,2016,2,5,1.571428571
455105,2016,2,5,1
455106,2016,2,5,1.125
455107,2016,2,5,1.125
455108,2016,2,5,1
455109,2016,2,5,1
455110,2016,2,5,1
456001,2016,2,5,1.625
456002,2016,2,5,1
456003,2016,2,5,1.25
456004,2016,2,5,1.75
456005,2016,2,5,4
456007,2016,2,5,1.285714286
456008,2016,2,5,2
456009,2016,2,5,1
456010,2016,2,5,1
456011,2016,2,5,1
456012,2016,2,5,1.5
456013,2016,2,5,1
456014,2016,2,5,1.625
456015,2016,2,5,5
456016,2016,2,5,1
456017,2016,2,5,2.25
456018,2016,2,5,1.75
456019,2016,2,5,1.25
456020,2016,2,5,1
456022,2016,2,5,1.375
456023,2016,2,5,2.625
456024,2016,2,5,1.125
456025,2016,2,5,1
456026,2016,2,5,1
456027,2016,2,5,1
456028,2016,2,5,NA
456029,2016,2,5,1
456030,2016,2,5,1.375
456031,2016,2,5,NA
456032,2016,2,5,1
456033,2016,2,5,1
456034,2016,2,5,1.625
456035,2016,2,5,1
456037,2016,2,5,2
456038,2016,2,5,1
456039,2016,2,5,3.285714286
456040,2016,2,5,1
456041,2016,2,5,1
456042,2016,2,5,1.833333333
456044,2016,2,5,1
456045,2016,2,5,1
456046,2016,2,5,NA
456047,2016,2,5,1
456048,2016,2,5,2.5
456049,2016,2,5,1.285714286
456050,2016,2,5,2.5
456052,2016,2,5,2.75
456053,2016,2,5,1.142857143
456054,2016,2,5,1
456056,2016,2,5,1.25
456057,2016,2,5,3.375
456058,2016,2,5,1.25
456059,2016,2,5,1.75
456060,2016,2,5,1.75
456062,2016,2,5,1
456063,2016,2,5,2.625
456064,2016,2,5,1.5
456065,2016,2,5,NA
456067,2016,2,5,1.75
456068,2016,2,5,1.375
456069,2016,2,5,NA
456070,2016,2,5,1
456071,2016,2,5,2
456072,2016,2,5,1.142857143
456073,2016,2,5,1
456074,2016,2,5,1
456075,2016,2,5,1.375
456076,2016,2,5,1.5
456077,2016,2,5,1.714285714
456078,2016,2,5,1.875
456079,2016,2,5,NA
456080,2016,2,5,1.125
456082,2016,2,5,2.125
456084,2016,2,5,1.75
456085,2016,2,5,1
456087,2016,2,5,NA
456088,2016,2,5,1
456089,2016,2,5,2.625
456090,2016,2,5,1.428571429
456091,2016,2,5,1.142857143
456092,2016,2,5,NA
456093,2016,2,5,1.428571429
456094,2016,2,5,2.25
456095,2016,2,5,1.25
456101,2016,2,5,1
456102,2016,2,5,2.5
456103,2016,2,5,1.142857143
456105,2016,2,5,1.125
456106,2016,2,5,1
456107,2016,2,5,1
456109,2016,2,5,1
456110,2016,2,5,1.375
457002,2016,2,5,1.875
457003,2016,2,5,2
457004,2016,2,5,3.285714286
457005,2016,2,5,2.125
457006,2016,2,5,3.666666667
457007,2016,2,5,NA
457008,2016,2,5,1.25
457009,2016,2,5,3
457010,2016,2,5,3.375
457011,2016,2,5,1.25
457012,2016,2,5,2.125
457013,2016,2,5,3
457014,2016,2,5,1
457015,2016,2,5,1.625
457017,2016,2,5,1.857142857
457018,2016,2,5,1.5
457019,2016,2,5,1.375
457020,2016,2,5,1.25
457021,2016,2,5,1.375
457022,2016,2,5,2.571428571
457023,2016,2,5,2.571428571
457024,2016,2,5,2
457025,2016,2,5,1
457026,2016,2,5,1.125
457027,2016,2,5,2.625
457028,2016,2,5,1.375
457029,2016,2,5,3.333333333
457030,2016,2,5,1
457032,2016,2,5,2.125
457033,2016,2,5,1
457034,2016,2,5,2.857142857
457035,2016,2,5,1.375
457036,2016,2,5,1.75
457037,2016,2,5,2.375
457038,2016,2,5,2.625
457039,2016,2,5,1.714285714
457040,2016,2,5,1.4
457041,2016,2,5,1
457042,2016,2,5,NA
457043,2016,2,5,1
457044,2016,2,5,1.25
457045,2016,2,5,1
457051,2016,2,5,1
457052,2016,2,5,2.625
457053,2016,2,5,1
457055,2016,2,5,2.142857143
457056,2016,2,5,1
457057,2016,2,5,2
457058,2016,2,5,1.142857143
457059,2016,2,5,1.125
455096,2016,2,6,1
455097,2016,2,6,1.375
455098,2016,2,6,1.125
455099,2016,2,6,2.875
455100,2016,2,6,4.625
455102,2016,2,6,1.75
455103,2016,2,6,NA
455104,2016,2,6,1.571428571
455105,2016,2,6,1
455106,2016,2,6,1.125
455107,2016,2,6,1.125
455108,2016,2,6,1
455109,2016,2,6,1
455110,2016,2,6,1.285714286
456001,2016,2,6,1.625
456002,2016,2,6,1
456003,2016,2,6,1.5
456004,2016,2,6,1.875
456005,2016,2,6,4
456007,2016,2,6,1.428571429
456008,2016,2,6,3.666666667
456009,2016,2,6,1
456010,2016,2,6,1.375
456011,2016,2,6,1.125
456012,2016,2,6,1.75
456013,2016,2,6,1
456014,2016,2,6,1.625
456015,2016,2,6,5
456016,2016,2,6,1.25
456017,2016,2,6,2.25
456018,2016,2,6,2
456019,2016,2,6,1.125
456020,2016,2,6,1
456022,2016,2,6,1.625
456023,2016,2,6,3.625
456024,2016,2,6,1.25
456025,2016,2,6,1
456026,2016,2,6,1
456027,2016,2,6,1
456028,2016,2,6,NA
456029,2016,2,6,1
456030,2016,2,6,1.875
456031,2016,2,6,NA
456032,2016,2,6,1.142857143
456033,2016,2,6,1
456034,2016,2,6,1.75
456035,2016,2,6,1.125
456037,2016,2,6,2.428571429
456038,2016,2,6,1.142857143
456039,2016,2,6,3.428571429
456040,2016,2,6,1.25
456041,2016,2,6,1
456042,2016,2,6,2.5
456044,2016,2,6,1.142857143
456045,2016,2,6,1
456046,2016,2,6,NA
456047,2016,2,6,1
456048,2016,2,6,3.333333333
456049,2016,2,6,1.285714286
456050,2016,2,6,2.875
456052,2016,2,6,2.75
456053,2016,2,6,1.428571429
456054,2016,2,6,1
456056,2016,2,6,1.5
456057,2016,2,6,3.75
456058,2016,2,6,1.375
456059,2016,2,6,2.25
456060,2016,2,6,2.125
456062,2016,2,6,1.125
456063,2016,2,6,3.125
456064,2016,2,6,1.625
456065,2016,2,6,NA
456067,2016,2,6,2.5
456068,2016,2,6,1.5
456069,2016,2,6,NA
456070,2016,2,6,1
456071,2016,2,6,2
456072,2016,2,6,1.428571429
456073,2016,2,6,1
456074,2016,2,6,1.285714286
456075,2016,2,6,1.375
456076,2016,2,6,1.5
